Unnamed: 0,Species,Country.of.Origin,Farm.Name,Company,Region,Producer,Grading.Date,Owner.1,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color
0,Arabica,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,"April 4th, 2015",metad plc,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,90.58,0.12,Green
1,Arabica,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,"April 4th, 2015",metad plc,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,89.92,0.12,Green
2,Arabica,Guatemala,"san marcos barrancas ""san cristobal cuch",,,,"May 31st, 2010",Grounds for Health Admin,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,89.75,0.0,
3,Arabica,Ethiopia,yidnekachew dabessa coffee plantation,yidnekachew debessa coffee plantation,oromia,Yidnekachew Dabessa Coffee Plantation,"March 26th, 2015",Yidnekachew Dabessa,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,89.0,0.11,Green
4,Arabica,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,"April 4th, 2015",metad plc,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,88.83,0.12,Green
5,Arabica,Brazil,,,,,"September 3rd, 2013",Ji-Ae Ahn,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,88.83,0.11,Bluish-Green
6,Arabica,Peru,,richmond investment-coffee department,,HVC,"September 17th, 2012",Hugo Valdivia,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,88.75,0.11,Bluish-Green
7,Arabica,Ethiopia,aolme,,oromia,Bazen Agricultural & Industrial Dev't Plc,"September 2nd, 2010",Ethiopia Commodity Exchange,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,88.67,0.03,
8,Arabica,Ethiopia,aolme,,oromiya,Bazen Agricultural & Industrial Dev't Plc,"September 2nd, 2010",Ethiopia Commodity Exchange,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,88.42,0.03,
9,Arabica,Ethiopia,tulla coffee farm,diamond enterprise plc,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,"March 30th, 2015",Diamond Enterprise Plc,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,88.25,0.1,Green
10,Arabica,Ethiopia,fahem coffee plantation,fahem coffee plantation,oromia,Fahem Coffee Plantation,"March 27th, 2015",Mohammed Lalo,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,88.08,0.1,
11,Arabica,United States,el filo,coffee quality institute,antioquia,Alfredo De Jesús López Pérez,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,87.92,0.0,
12,Arabica,United States,los cedros,coffee quality institute,antioquia,Jorge Walter Restrepo,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,87.92,0.0,
13,Arabica,United States (Hawaii),arianna farms,,kona,"Robert, Sharon, Arianna Wood","May 31st, 2010",Grounds for Health Admin,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,87.92,0.0,
14,Arabica,Ethiopia,aolme,,oromiya,Bazen Agricultural & Industrial Dev't Plc,"August 31st, 2010",Ethiopia Commodity Exchange,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,87.83,0.05,
15,Arabica,United States,el águila,coffee quality institute,antioquia,María Leticia Diosa,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,87.58,0.0,
16,Arabica,Indonesia,toarco jaya,,sulawesi,P.T. Toarco Jaya,"May 31st, 2010",Grounds for Health Admin,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,87.42,0.03,
17,Arabica,Ethiopia,,,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,"June 16th, 2010",Ethiopia Commodity Exchange,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,87.33,0.05,
18,Arabica,China,echo coffee,yunnan coffee exchange,yunnan,Echo Coffee,"April 7th, 2016",Yunnan Coffee Exchange,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,87.25,0.1,Green
19,Arabica,Ethiopia,drima zede,essence coffee,gedio,LevelUp,"March 25th, 2015",EssenceCoffee,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,87.25,0.0,
20,Arabica,United States,el rodeo,coffee quality institute,antioquia,Nicolás Rueda Urrego,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,87.25,0.0,None
21,Arabica,Costa Rica,several,the coffee source inc.,san ramon,SEVERAL,"April 2nd, 2014",The Coffee Source Inc.,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,87.17,0.11,Green
22,Arabica,Mexico,la herradura,,xalapa,ROBERTO LICONA FRANCO,"July 26th, 2012",ROBERTO LICONA FRANCO,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,87.17,0.13,Green
23,Arabica,United States,la curva,coffee quality institute,antioquia,Silvia Elena Higuita,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,87.08,0.0,
24,Arabica,Ethiopia,,,sidamo,,"September 3rd, 2013",Ji-Ae Ahn,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,87.08,0.11,Bluish-Green
25,Arabica,Brazil,fazenda kaquend,nucoffee,south of minas,Ralph Junqueira,"December 3rd, 2011",NUCOFFEE,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,86.92,0.12,Green
26,Arabica,Ethiopia,,,sidamo,Green Gold Ethiopia | Phone: 0114342032,"June 16th, 2010",Ethiopia Commodity Exchange,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,86.92,0.05,
27,Arabica,Uganda,chebonet (23) women coffee,kabum trading company,kapchorwa eastern,Kabum trading company,"June 26th, 2014",Kabum Trading company,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,86.83,0.12,Green
28,Arabica,Honduras,los hicaques,cigrah s.a de c.v,comayagua,Reinerio Zepeda,"May 18th, 2017",Bismarck Castro,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,86.67,0.1,Green
29,Arabica,Taiwan,tsoustructive garden 鄒築園,taiwan coffee laboratory,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫","May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,86.58,0.0,Green
